model,component,contribution
PT3_COREDe,L16H3,0.2185546875
PT3_COREDe,L16H6,0.2185546875
PT3_COREDe,L16H5,0.2185546875
PT4_COREDe,L16H3,0.21731770833333333
PT4_COREDe,L16H0,0.21731770833333333
PT4_COREDe,L16H2,0.21731770833333333
PT4_COREDe,L16H1,0.21731770833333333
PT4_COREDe,L16H7,0.21731770833333333
PT4_COREDe,L16H6,0.21731770833333333
PT4_COREDe,L16H5,0.21731770833333333
PT4_COREDe,L16H4,0.21731770833333333
PT3_COREDe,L11H6,0.16288859049479168
PT3_COREDe,L11H7,0.16288859049479168
PT3_COREDe,L11H3,0.16288859049479168
PT3_COREDe,L11H2,0.16288859049479168
PT3_COREDe,L11H5,0.16288859049479168
PT3_COREDe,L11H4,0.16288859049479168
PT3_COREDe,L11H0,0.16288859049479168
PT3_COREDe,L11H1,0.16288859049479168
PT4_COREDe,L11H6,0.160174560546875
PT4_COREDe,L11H7,0.160174560546875
PT4_COREDe,L11H3,0.160174560546875
PT4_COREDe,L11H2,0.160174560546875
PT4_COREDe,L11H0,0.160174560546875
PT4_COREDe,L11H1,0.160174560546875
PT4_COREDe,L11H4,0.160174560546875
PT4_COREDe,L11H5,0.160174560546875
PT2_COREDe,L11H4,0.15678202311197917
PT2_COREDe,L11H5,0.15678202311197917
PT2_COREDe,L11H2,0.15678202311197917
PT2_COREDe,L11H3,0.15678202311197917
PT2_COREDe,L11H6,0.15678202311197917
PT2_COREDe,L11H7,0.15678202311197917
PT2_COREDe,L11H1,0.15678202311197917
PT2_COREDe,L11H0,0.15678202311197917
PT3_COREUt,L11H1,0.156060791015625
PT3_COREUt,L11H0,0.156060791015625
PT3_COREUt,L11H6,0.156060791015625
PT3_COREUt,L11H7,0.156060791015625
PT3_COREUt,L11H4,0.156060791015625
PT3_COREUt,L11H5,0.156060791015625
PT3_COREUt,L11H3,0.156060791015625
PT3_COREUt,L11H2,0.156060791015625
base,L11H2,0.1553919474283854
base,L11H1,0.1553919474283854
base,L11H4,0.1553919474283854
base,L11H3,0.1553919474283854
base,L11H0,0.1553919474283854
base,L11H7,0.1553919474283854
base,L11H6,0.1553919474283854
base,L11H5,0.1553919474283854
PT2_COREDe,L8H3,0.12386067708333333
PT2_COREDe,L8H2,0.12386067708333333
PT2_COREDe,L8H4,0.12386067708333333
PT2_COREDe,L8H0,0.12386067708333333
PT2_COREDe,L8H1,0.12386067708333333
